Combination_ID,Client_1,Client_2,Client_3,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
2930,8,29,30,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz']",5762,12441.01429,38.64571591,0.433333333,80.89666667
2931,8,29,31,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",7345,13218.25862,41.41994238,0.466666667,81.78333333
2932,8,29,32,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",7064,13143.17536,45.16566356,0.5,76.78666667
2933,8,30,31,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",8201,13879.41957,38.79674077,0.433333333,83.42666667
2934,8,30,32,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",7920,13804.33631,42.54246195,0.466666667,78.43
2935,8,31,32,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",9503,14581.58064,45.31668842,0.5,79.31666667
2936,9,10,11,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz']",6019,12303.70784,50.18200855,0.566666667,80.24333333
2937,9,10,12,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz']",5738,12228.62458,53.92772973,0.6,75.24666667
2938,9,10,13,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz']",3911,11101.45712,38.72387151,0.433333333,78.67333333
2939,9,10,14,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz']",4393,11562.05869,46.45208518,0.533333333,68.90666667
2940,9,10,15,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz']",3547,11127.52009,52.67768363,0.6,78.63666667
2941,9,10,16,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz']",4411,11332.61585,55.57332059,0.633333333,75.18666667
2942,9,10,17,"['/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz']",6514,12598.86432,49.77960567,0.566666667,76.75666667
