Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
1216,14,22,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_22_local.npz']",4226.0,8629.55117225647,47.889017164707184,0.6,100.0
1217,14,23,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_23_local.npz']",4469.0,8891.06273651123,58.53764593601227,0.8,71.45899999999999
1218,14,24,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_24_local.npz']",3497.0,8118.253469467163,47.53000974655152,0.6,74.6035
1219,14,25,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_25_local.npz']",3243.0,7977.983236312866,54.30252343416214,0.6499999999999999,100.0
1220,14,26,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_26_local.npz']",3381.0,7991.427421569824,50.78952997922897,0.6499999999999999,75.20152499999999
1221,14,27,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_27_local.npz']",6074.0,10033.880949020386,55.714642107486725,0.7,100.0
1222,14,28,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_28_local.npz']",3834.0,8318.66192817688,61.61950469017029,0.75,77.28819999999999
1223,14,29,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_29_local.npz']",5345.0,9364.168405532835,52.73404836654663,0.7,73.86725
1224,14,30,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_30_local.npz']",3713.0,8515.971660614014,56.15422785282135,0.7,75.8748375
1225,14,31,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz']",4897.0,12313.247680664062,43.58533024787903,0.55,72.407575
