Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
44,1,2,3,8,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",11020.0,24258.111238479614,32.767401695251465,0.4,72.964
45,1,2,3,8,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",10040.0,23412.43863105774,36.229822635650635,0.44000000000000006,72.076
46,1,2,3,8,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",12849.0,25487.16115951538,38.22913646697998,0.45999999999999996,72.15599999999999
47,1,2,3,8,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",11197.0,24221.07434272766,38.7104355096817,0.48,71.264
48,1,2,3,8,15,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_15_local.npz']",11620.0,24545.032739639282,32.59438967704773,0.4,72.49600000000001
49,1,2,3,8,16,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_16_local.npz']",12832.0,25273.40602874756,42.2416558265686,0.52,72.726
50,1,2,3,9,10,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_10_local.npz']",7390.0,21905.439138412476,41.396676659584045,0.52,71.122
51,1,2,3,9,11,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_11_local.npz']",8140.0,22258.443593978882,35.336883187294006,0.44000000000000006,72.162
52,1,2,3,9,12,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_12_local.npz']",7160.0,21412.770986557007,38.799304127693176,0.48,71.274
53,1,2,3,9,13,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_13_local.npz']",9969.0,23487.49351501465,40.79861795902252,0.5,71.354
54,1,2,3,9,14,"['/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_30_FMNIST/client_14_local.npz']",8317.0,22221.40669822693,41.27991700172424,0.52,70.462
