Combination_ID,Client_1,Client_2,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
3063,39,44,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_14_local.npz']",6594.0,29156.933307647705,37.74688735604286,0.75,46.6
3064,39,45,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_15_local.npz']",3621.0,21458.38475227356,28.189832121133804,0.6,45.615
3065,39,46,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_16_local.npz']",3792.0,21784.773111343384,26.74438126385212,0.6,40.805
3066,39,47,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_17_local.npz']",5995.0,27809.935331344604,22.89778620004654,0.5,51.525
3067,39,48,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_18_local.npz']",4157.0,22741.689682006836,28.443933948874474,0.6,46.375
3068,39,49,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_19_local.npz']",6297.0,28658.27965736389,33.599855825304985,0.7,52.495000000000005
3069,39,50,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_20_local.npz']",6155.0,27660.550832748413,33.956555873155594,0.7,50.695
3070,39,51,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_21_local.npz']",5268.0,25216.732263565063,32.22721353173256,0.6499999999999999,47.08
3071,39,52,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_22_local.npz']",6073.0,28063.81320953369,34.39392372965813,0.7,51.16
3072,39,53,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_23_local.npz']",4313.0,22759.43422317505,24.248056709766388,0.5,41.805
3073,39,54,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_24_local.npz']",6130.0,27392.128705978394,30.85121989250183,0.6499999999999999,50.405
3074,39,55,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_25_local.npz']",5062.0,24616.64366722107,30.884272009134293,0.6499999999999999,49.165
3075,39,56,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_26_local.npz']",4783.0,24589.16163444519,29.904749542474743,0.6,50.045
3076,39,57,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_27_local.npz']",5767.0,26448.510885238647,36.332344859838486,0.7,45.94
3077,39,58,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_28_local.npz']",5081.0,24739.51482772827,24.659154415130615,0.5,49.96
3078,39,59,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_29_local.npz']",4641.0,24135.098218917847,30.45278713107109,0.6499999999999999,47.08
3079,39,60,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_30_local.npz']",5865.0,26589.597463607788,32.49576851725578,0.6499999999999999,50.43
3080,39,61,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_1_local.npz']",6630.0,29201.983213424683,30.559855550527573,0.6499999999999999,53.05
3081,39,62,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_2_local.npz']",6450.0,29251.87611579895,33.63777831196785,0.7,54.595
3082,39,63,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_3_local.npz']",6000.0,27184.572458267212,31.318550258874893,0.6499999999999999,53.885000000000005
3083,39,64,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_4_local.npz']",5510.0,25824.799060821533,27.41556614637375,0.6,53.445
3084,39,65,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_5_local.npz']",5590.0,26208.99987220764,23.922533839941025,0.5,53.16
3085,39,66,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_6_local.npz']",3720.0,21106.218338012695,34.65838313102722,0.7,47.61
3086,39,67,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_7_local.npz']",4110.0,22217.47136116028,39.12981107831001,0.8,48.84
3087,39,68,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_8_local.npz']",4670.0,24096.21524810791,31.62745401263237,0.6499999999999999,50.235
3088,39,69,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz']",5620.0,26871.785640716553,34.69039171934128,0.7,53.14
3089,39,70,"['/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_CIFAR/client_10_local.npz']",5690.0,24888.107299804688,32.94241800904274,0.7,52.504999999999995
