,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
47,48,NonIID,972,43,24.43,4.5219035148620605,4521.903514862061,0.2211458065642749,4136.549019607844,/content/drive/MyDrive/mlaas_weights_har/client_48.npz,125,234,309,83,221,"[9.36213955283165, 12.962962687015533, 12.86008208990097, 12.86008208990097, 12.86008208990097]",12.181069701910019,1.0
48,49,NonIID,559,43,24.42,3.9827983379364014,3982.7983379364014,0.2510797472407623,4767.54802259887,/content/drive/MyDrive/mlaas_weights_har/client_49.npz,0,210,201,146,2,"[27.012521028518677, 0.0, 0.0, 24.424703419208527, 0.0]",10.28744488954544,0.8
49,50,NonIID,1476,43,21.8,9.194100141525269,9194.100141525269,0.10876540222609578,1758.0333333333333,/content/drive/MyDrive/mlaas_weights_har/client_50.npz,135,377,202,572,190,"[21.795257925987244, 21.795257925987244, 9.146341681480408, 9.146341681480408, 9.146341681480408]",14.205908179283142,0.6
50,51,NonIID,1023,43,25.03,4.760690689086914,4760.690689086914,0.2100535542652104,2431.8616714697405,/content/drive/MyDrive/mlaas_weights_har/client_51.npz,83,289,131,200,320,"[25.02562403678894, 8.21114405989647, 25.02562403678894, 8.113391697406769, 8.113391697406769]",14.897835105657578,0.6
51,52,NonIID,1020,43,9.63,4.666831731796265,4666.831731796265,0.21427813503254375,2083.595061728395,/content/drive/MyDrive/mlaas_weights_har/client_52.npz,47,162,181,247,383,"[24.41176474094391, 4.607843235135078, 4.607843235135078, 4.607843235135078, 4.607843235135078]",8.568627536296844,1.0
52,53,NonIID,1321,43,21.8,5.223853588104248,5223.853588104248,0.19142956117246443,2114.9273182957395,/content/drive/MyDrive/mlaas_weights_har/client_53.npz,318,120,104,723,56,"[54.88266348838806, 21.795257925987244, 21.795257925987244, 24.072672426700592, 24.072672426700592]",29.323704838752747,0.6
53,54,NonIID,1545,43,25.03,5.110540866851807,5110.540866851807,0.1956740051696367,2612.5572755417957,/content/drive/MyDrive/mlaas_weights_har/client_54.npz,266,488,235,347,209,"[25.02562403678894, 17.281553149223328, 17.21682846546173, 17.21682846546173, 17.21682846546173]",18.791532516479492,0.8
54,55,NonIID,1904,43,24.43,4.943822622299194,4943.822622299194,0.20227262917756866,2038.2995169082126,/content/drive/MyDrive/mlaas_weights_har/client_55.npz,194,175,1319,139,77,"[24.42537397146225, 10.241596400737762, 10.189075767993927, 10.189075767993927, 10.189075767993927]",13.046839535236359,0.8
55,56,NonIID,683,43,24.43,3.3943586349487305,3394.3586349487305,0.2946064654759453,3137.0111524163567,/content/drive/MyDrive/mlaas_weights_har/client_56.npz,84,7,369,96,127,"[24.42537397146225, 24.42537397146225, 24.42537397146225, 12.29868233203888, 24.42537397146225]",22.000035643577576,0.2
56,57,NonIID,1367,43,25.03,4.3262553215026855,4326.255321502686,0.23114678299954314,4611.234972677596,/content/drive/MyDrive/mlaas_weights_har/client_57.npz,68,530,94,247,428,"[18.141916394233704, 4.974396526813507, 4.974396526813507, 4.974396526813507, 4.974396526813507]",7.607900500297546,1.0
