Unnamed: 0,Combination_ID,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Weights_Paths,Global_DataVolume,Global_Latency,Global_Mean_Quality_Factor,Global_Reliability_Score,Global_Accuracy
,20,1,2,3,4,5,6,7,8,14,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_8_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",11577.0,67306.22625350952,58.19917815923691,0.65,88.228
,21,1,2,3,4,5,6,7,9,10,11,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz']",12460.0,67492.58089065552,58.19191366434097,0.65,88.53999999999999
,22,1,2,3,4,5,6,7,9,10,12,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",11980.0,67202.12435722351,56.33935338258743,0.63,88.49199999999999
,23,1,2,3,4,5,6,7,9,10,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",11571.0,66732.69724845886,58.25483363866806,0.65,87.987
,24,1,2,3,4,5,6,7,9,10,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",12859.0,68148.97441864014,58.15054631233215,0.65,88.58599999999998
,25,1,2,3,4,5,6,7,9,10,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_10_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",11508.0,67273.8983631134,58.1732411980629,0.65,88.18299999999999
,26,1,2,3,4,5,6,7,9,11,12,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_12_local.npz']",11810.0,66637.58492469788,57.351359605789185,0.64,88.50899999999999
,27,1,2,3,4,5,6,7,9,11,13,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_13_local.npz']",11401.0,66168.15781593323,59.26683986186981,0.6599999999999999,88.00399999999999
,28,1,2,3,4,5,6,7,9,11,14,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_14_local.npz']",12689.0,67584.4349861145,59.162552535533905,0.6599999999999999,88.603
,29,1,2,3,4,5,6,7,9,11,15,"['/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_1_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_2_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_3_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_4_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_5_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_6_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_7_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_9_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_11_local.npz', '/content/drive/MyDrive/MLaaS_Weights_20_HAR/client_15_local.npz']",11338.0,66709.35893058777,59.18524742126465,0.6599999999999999,88.2
